year,age,sex,helping_others,social_usefulness
1989,21,female,very_important,important
1989,22,male,important,very_important
1989,75,male,neither,neither
1989,37,male,important,important
1989,67,male,important,very_important
1989,68,male,neither,important
1989,34,male,neither,important
1989,25,female,important,important
1989,18,female,neither,very_important
1989,89,male,important,very_important
1989,53,female,very_important,very_important
1989,33,male,important,important
1989,30,female,very_important,neither
1989,28,female,important,very_important
1989,42,male,important,neither
1989,33,female,important,important
1989,48,female,important,important
1989,48,female,very_important,important
1989,56,male,important,very_important
1989,77,female,important,important
1989,39,female,important,important
1989,42,male,neither,neither
1989,19,female,important,very_important
1989,68,male,not_important,not_important
1989,29,female,very_important,very_important
1989,52,female,important,important
1989,50,female,not_important,neither
1989,23,female,neither,important
1989,38,female,neither,very_important
1989,35,male,neither,important
1989,20,female,neither,neither
1989,60,female,important,important
1989,46,male,not_important,not_important
1989,73,male,important,important
1989,83,male,important,important
1989,22,male,important,important
1989,31,male,neither,neither
1989,35,female,neither,neither
1989,37,female,important,important
1989,68,female,very_important,very_important
1989,44,female,important,neither
1989,44,male,important,neither
1989,55,female,neither,important
1989,54,female,important,very_important
1989,34,male,neither,neither
1989,31,female,neither,not_important
1989,46,female,important,neither
1989,42,male,important,important
1989,30,male,important,important
1989,73,female,neither,important
1989,47,female,important,neither
1989,75,male,important,neither
1989,85,female,important,important
1989,38,male,neither,very_important
1989,67,female,important,important
1989,37,female,very_important,very_important
1989,23,male,important,important
1989,75,female,important,important
1989,41,male,neither,neither
1989,34,female,important,important
1989,41,male,neither,neither
1989,59,male,important,important
1989,67,male,neither,not_important
1989,39,female,neither,important
1989,61,female,important,important
1989,49,female,neither,neither
1989,46,male,not_important,neither
1989,22,female,very_important,very_important
1989,21,male,very_important,very_important
1989,21,male,important,important
1989,32,female,important,important
1989,21,male,neither,important
1989,49,male,very_important,very_important
1989,21,female,important,very_important
1989,38,male,very_important,very_important
1989,47,female,neither,neither
1989,28,male,important,important
1989,74,female,neither,important
1989,48,male,important,very_important
1989,53,female,important,important
1989,50,female,neither,neither
1989,28,female,neither,important
1989,23,male,neither,neither
1989,32,female,very_important,very_important
1989,47,female,important,important
1989,28,male,neither,neither
1989,59,female,not_important,neither
1989,43,male,not_important,very_important
1989,56,female,important,important
1989,38,female,important,important
1989,29,female,very_important,neither
1989,28,male,very_important,very_important
1989,41,female,very_important,very_important
1989,31,female,important,important
1989,24,female,important,important
1989,38,female,important,important
1989,29,male,very_important,very_important
1989,30,female,important,very_important
1989,36,male,important,important
1989,50,female,important,very_important
1989,28,female,important,very_important
1989,46,female,important,neither
1989,54,female,important,very_important
1989,55,male,important,very_important
1989,28,male,neither,important
1989,38,female,important,important
1989,44,female,neither,neither
1989,48,male,important,important
1989,26,female,neither,neither
1989,51,male,important,neither
1989,69,female,very_important,very_important
1989,59,female,very_important,important
1989,50,male,important,important
1989,34,male,neither,very_important
1989,45,male,not_important,not_important
1989,78,female,important,important
1989,38,female,important,very_important
1989,71,female,very_important,very_important
1989,59,male,neither,neither
1989,70,male,important,important
1989,33,male,important,important
1989,47,female,important,important
1989,37,female,important,important
1989,30,female,important,important
1989,20,male,very_important,important
1989,40,female,very_important,very_important
1989,45,female,not_important,not_important
1989,28,male,neither,neither
1989,29,male,important,not_important
1989,23,female,important,important
1989,47,female,important,important
1989,21,male,important,important
1989,60,female,not_important,not_important
1989,34,male,important,important
1989,22,female,very_important,very_important
1989,63,female,important,important
1989,32,female,very_important,very_important
1989,42,female,very_important,very_important
1989,87,female,important,important
1989,31,female,important,important
1989,43,female,important,important
1989,45,female,important,important
1989,41,male,important,very_important
1989,42,female,important,neither
1989,38,female,important,important
1989,61,female,neither,not_important
1989,60,female,important,very_important
1989,70,female,neither,important
1989,61,female,neither,important
1989,42,male,important,important
1989,42,male,neither,important
1989,36,male,important,neither
1989,60,male,very_important,important
1989,31,male,neither,important
1989,38,female,very_important,very_important
1989,56,female,important,important
1989,68,female,neither,important
1989,65,male,neither,neither
1989,50,male,important,important
1989,19,female,important,important
1989,61,female,important,important
1989,61,female,very_important,important
1989,54,female,important,important
1989,40,male,very_important,very_important
1989,33,female,very_important,very_important
1989,31,female,very_important,very_important
1989,51,male,important,important
1989,28,female,important,important
1989,59,male,important,important
1989,50,male,not_important,not_important
1989,53,male,neither,neither
1989,36,female,important,important
1989,44,female,very_important,very_important
1989,24,female,important,important
1989,35,male,very_important,very_important
1989,43,male,very_important,very_important
1989,66,male,important,important
1989,73,male,important,important
1989,47,male,important,important
1989,50,female,important,very_important
1989,43,female,not_important,important
1989,23,male,important,important
1989,47,female,very_important,very_important
1989,39,female,very_important,very_important
1989,57,male,neither,important
1989,48,male,important,important
1989,24,male,not_important,not_important
1989,32,male,important,important
1989,57,female,important,important
1989,43,female,neither,neither
1989,56,female,very_important,very_important
1989,45,male,important,important
1989,23,male,important,important
1989,33,male,important,important
1989,27,male,very_important,very_important
1989,48,male,important,neither
1989,44,female,very_important,very_important
1989,55,female,neither,important
1989,47,male,very_important,very_important
1989,31,female,important,important
1989,43,female,important,very_important
1989,29,male,neither,important
1989,28,female,very_important,very_important
1989,27,female,very_important,important
1989,28,female,important,important
1989,33,male,neither,important
1989,36,female,important,important
1989,35,male,important,important
1989,42,female,important,important
1989,38,female,neither,neither
1989,37,male,neither,neither
1989,28,male,important,important
1989,68,female,important,important
1989,48,male,important,very_important
1989,39,female,very_important,very_important
1989,60,male,very_important,very_important
1989,68,female,important,important
1989,28,male,important,not_important
1989,21,male,very_important,very_important
1989,27,male,important,important
1989,26,male,important,very_important
1989,29,female,important,important
1989,21,male,important,important
1989,43,male,neither,neither
1989,31,male,important,important
1989,81,female,important,very_important
1989,32,female,important,important
1989,73,female,neither,important
1989,27,female,important,important
1989,24,female,very_important,important
1989,25,female,important,neither
1989,23,male,very_important,very_important
1989,28,female,not_important,not_important_at_all
1989,82,male,very_important,important
1989,33,male,important,very_important
1989,55,female,very_important,very_important
1989,78,female,not_important,not_important
1989,34,male,neither,neither
1989,32,female,important,important
1989,25,male,important,important
1989,43,female,important,important
1989,35,female,neither,neither
1989,36,male,neither,neither
1989,57,female,neither,neither
1989,19,male,important,very_important
1989,24,female,not_important,not_important
1989,49,male,important,important
1989,45,male,important,neither
1989,42,female,important,important
1989,26,female,important,important
1989,19,female,important,very_important
1989,49,female,very_important,important
1989,81,male,important,important
1989,65,male,very_important,very_important
1989,81,female,important,important
1989,38,male,important,very_important
1989,33,male,neither,important
1989,23,female,very_important,very_important
1989,43,female,neither,important
1989,63,female,important,important
1989,45,male,very_important,important
1989,31,female,very_important,important
1989,30,male,very_important,very_important
1989,27,male,very_important,very_important
1989,38,female,important,important
1989,27,male,important,very_important
1989,28,female,very_important,very_important
1989,33,male,very_important,very_important
1989,35,female,very_important,very_important
1989,32,female,important,important
1989,51,male,important,important
1989,53,male,important,very_important
1989,72,female,important,important
1989,18,female,neither,neither
1989,46,female,important,important
1989,31,male,very_important,very_important
1989,33,female,important,important
1989,26,female,important,neither
1989,30,female,neither,neither
1989,39,female,neither,neither
1989,36,female,neither,neither
1989,60,female,not_important_at_all,not_important_at_all
1989,27,female,very_important,important
1989,36,female,important,important
1989,68,female,important,important
1989,32,male,very_important,important
1989,64,female,neither,neither
1989,25,male,important,neither
1989,49,male,very_important,important
1989,24,male,neither,important
1989,63,male,important,very_important
1989,33,female,important,important
1989,78,male,not_important,neither
1989,67,male,important,important
1989,53,male,important,very_important
1989,66,female,very_important,very_important
1989,72,male,neither,neither
1989,69,female,not_important_at_all,not_important_at_all
1989,43,female,very_important,very_important
1989,39,female,neither,neither
1989,25,female,very_important,very_important
1989,50,male,important,neither
1989,34,male,neither,neither
1989,65,male,neither,neither
1989,65,male,very_important,very_important
1989,30,female,important,important
1989,43,male,very_important,important
1989,37,female,important,important
1989,76,male,very_important,very_important
1989,79,female,important,important
1989,29,male,important,important
1989,44,male,neither,neither
1989,27,female,important,important
1989,30,male,very_important,very_important
1989,47,female,very_important,important
1989,50,female,important,important
1989,81,female,important,important
1989,47,female,important,important
1989,28,male,not_important,neither
1989,38,female,important,important
1989,68,male,important,important
1989,67,female,important,important
1989,55,female,important,important
1989,40,male,neither,neither
1989,85,male,very_important,very_important
1989,84,male,important,very_important
1989,31,male,very_important,very_important
1989,57,female,very_important,very_important
1989,32,female,very_important,very_important
1989,35,female,neither,neither
1989,21,male,important,very_important
1989,51,female,neither,important
1989,33,female,neither,important
1989,37,male,important,important
1989,19,female,very_important,very_important
1989,21,male,neither,neither
1989,39,male,important,very_important
1989,54,male,not_important,important
1989,38,female,important,important
1989,29,female,important,important
1989,32,male,important,important
1989,38,male,very_important,very_important
1989,58,male,very_important,very_important
1989,70,female,important,very_important
1989,31,female,important,important
1989,36,female,important,important
1989,73,female,important,neither
1989,29,female,important,important
1989,27,female,neither,neither
1989,24,female,very_important,very_important
1989,23,male,important,important
1989,42,female,neither,neither
1989,30,female,important,important
1989,39,female,important,important
1989,39,male,important,important
1989,67,female,very_important,very_important
1989,50,female,very_important,very_important
1989,33,female,important,important
1989,36,male,important,important
1989,55,male,important,important
1989,31,male,neither,neither
1989,62,male,neither,important
1989,51,female,important,important
1989,48,female,very_important,very_important
1989,49,female,important,important
1989,30,female,important,important
1989,27,female,important,important
1989,29,female,neither,neither
1989,25,female,very_important,very_important
1989,27,female,important,very_important
1989,22,female,important,important
1989,63,female,important,very_important
1989,45,female,neither,neither
1989,23,female,neither,important
1989,25,female,very_important,very_important
1989,31,male,important,important
1989,77,female,important,important
1989,52,male,neither,neither
1989,55,female,important,important
1989,26,female,important,important
1989,48,male,important,important
1989,29,male,neither,neither
1989,57,female,important,not_important
1989,31,male,neither,neither
1989,28,male,neither,important
1989,69,male,very_important,very_important
1989,34,female,very_important,not_important_at_all
1989,36,male,very_important,very_important
1989,30,female,very_important,very_important
1989,35,female,important,neither
1989,29,female,not_important,not_important
1989,49,female,very_important,very_important
1989,22,male,neither,neither
1989,18,female,neither,important
1989,31,female,important,important
1989,31,female,neither,not_important
1989,48,female,important,very_important
1989,19,female,very_important,important
1989,43,female,important,important
1989,68,female,neither,important
1989,48,male,very_important,very_important
1989,70,female,important,important
1989,54,female,neither,important
1989,21,male,important,neither
1989,85,female,important,important
1989,19,female,very_important,very_important
1989,36,male,very_important,important
1989,70,female,very_important,very_important
1989,40,male,important,important
1989,34,male,very_important,very_important
1989,43,male,neither,neither
1989,24,male,important,important
1989,39,female,neither,neither
1989,38,female,very_important,very_important
1989,49,female,important,important
1989,51,female,very_important,very_important
1989,61,female,important,neither
1989,24,female,important,important
1989,36,female,important,important
1989,64,male,important,important
1989,72,female,important,important
1989,40,female,important,important
1989,54,male,neither,not_important
1989,64,female,important,important
1989,64,male,important,very_important
1989,27,female,important,important
1989,33,female,important,important
1989,38,male,important,important
1989,72,male,important,important
1989,30,female,important,important
1989,57,male,important,very_important
1989,40,female,neither,important
1989,49,female,important,important
1989,25,male,neither,neither
1989,44,male,very_important,very_important
1989,44,female,very_important,very_important
1989,29,male,not_important,not_important
1989,39,female,important,very_important
1989,65,female,important,important
1989,24,female,very_important,important
1989,45,female,important,important
1989,46,female,important,neither
1989,35,female,neither,important
1989,46,male,very_important,very_important
1989,43,female,important,important
1989,61,female,neither,important
1989,47,male,very_important,very_important
1989,40,female,important,important
1989,56,female,neither,neither
1989,34,male,neither,neither
1989,28,female,important,neither
1989,72,female,important,important
1989,29,male,important,important
1989,74,male,very_important,very_important
1989,40,female,very_important,important
1989,30,female,important,important
1989,28,female,very_important,very_important
1989,42,female,important,important
1989,44,female,important,important
1989,34,male,important,important
1989,33,female,important,neither
1989,38,female,very_important,very_important
1989,72,male,important,important
1989,37,male,neither,important
1989,74,male,neither,not_important
1989,32,male,important,neither
1989,35,male,neither,important
1989,67,female,important,important
1989,62,male,neither,very_important
1989,28,female,neither,neither
1989,79,female,not_important,important
1989,82,male,neither,neither
1989,48,female,very_important,very_important
1989,83,female,important,important
1989,52,male,not_important,not_important
1989,67,female,not_important,not_important
1989,26,male,neither,neither
1989,46,female,not_important,neither
1989,51,female,not_important,not_important
1989,74,female,very_important,very_important
1989,56,female,very_important,very_important
1989,77,female,important,important
1989,46,female,important,very_important
1989,39,male,important,very_important
1989,64,male,not_important,neither
1989,85,female,important,very_important
1989,89,male,very_important,very_important
1989,25,female,important,important
1989,40,male,important,important
1989,28,female,neither,neither
1989,62,female,important,important
1989,31,female,important,neither
1989,38,male,important,important
1989,40,female,very_important,very_important
1989,38,male,neither,important
1989,29,male,important,important
1989,37,male,not_important,not_important
1989,38,male,important,very_important
1989,43,female,important,important
1989,35,female,very_important,important
1989,61,female,important,important
1989,46,female,neither,important
1989,31,male,neither,neither
1989,76,female,very_important,important
1989,35,male,very_important,very_important
1989,85,male,very_important,very_important
1989,51,female,important,important
1989,46,male,important,important
1989,36,male,important,important
1989,67,female,important,very_important
1989,26,female,important,important
1989,60,female,important,very_important
1989,40,male,important,important
1989,36,male,neither,important
1989,20,female,very_important,very_important
1989,27,male,important,important
1989,59,female,important,important
1989,43,female,important,important
1989,54,male,very_important,very_important
1989,52,male,neither,not_important
1989,34,female,very_important,very_important
1989,30,female,very_important,very_important
1989,27,male,neither,neither
1989,36,female,important,important
1989,51,female,important,important
1989,33,male,neither,important
1989,20,male,important,important
1989,37,female,important,important
1989,42,male,important,very_important
1989,31,female,important,very_important
1989,57,male,important,important
1989,30,female,important,important
1989,58,female,neither,neither
1989,66,female,important,important
1989,20,male,neither,important
1989,25,male,not_important,important
1989,87,female,neither,not_important
1989,36,female,neither,neither
1989,61,female,important,important
1989,65,female,important,important
1989,38,female,important,important
1989,47,female,very_important,very_important
1989,44,female,important,important
1989,60,male,very_important,very_important
1989,28,female,very_important,very_important
1989,41,female,important,important
1989,41,male,important,important
1989,36,male,neither,important
1989,36,female,neither,very_important
1989,55,female,very_important,very_important
1989,45,male,neither,not_important
1989,55,female,important,important
1989,40,female,neither,important
1989,29,female,neither,neither
1989,42,female,important,important
1989,41,male,important,important
1989,37,male,important,neither
1989,70,male,important,very_important
1989,28,male,important,neither
1989,78,female,important,important
1989,58,female,important,neither
1989,33,female,important,very_important
1989,25,female,important,important
1989,65,female,neither,important
1989,23,male,important,important
1989,23,male,not_important,important
1989,46,male,important,important
1989,80,female,important,important
1989,77,female,very_important,very_important
1989,32,male,important,important
1989,32,female,important,important
1989,36,male,neither,important
1989,70,male,important,important
1989,76,female,important,very_important
1989,76,female,very_important,very_important
1989,63,female,important,important
1989,76,female,very_important,very_important
1989,72,male,important,important
1989,63,female,important,important
1989,44,female,very_important,very_important
1989,41,female,important,important
1989,54,male,not_important_at_all,not_important
1989,46,male,neither,important
1989,34,female,neither,neither
1989,31,male,important,important
1989,20,male,important,very_important
1989,66,male,important,important
1989,NA,female,important,very_important
1989,19,female,important,neither
1989,34,male,neither,neither
1989,53,female,important,important
1989,35,female,neither,neither
1989,25,female,very_important,very_important
1989,74,female,important,important
1989,21,male,neither,important
1989,62,male,important,important
1989,80,female,very_important,very_important
1989,19,male,important,very_important
1989,67,female,very_important,neither
1989,39,female,important,important
1989,25,male,important,important
1989,71,male,important,important
1989,59,male,important,very_important
1989,82,female,important,important
1989,56,male,important,important
1989,48,female,neither,neither
1989,34,female,neither,neither
1989,60,male,neither,important
1989,27,male,neither,important
1989,24,male,important,important
1989,65,male,neither,important
1989,69,male,neither,neither
1989,26,male,important,important
1989,57,female,important,important
1989,62,male,neither,neither
1989,45,female,very_important,very_important
1989,36,female,important,very_important
1989,20,male,very_important,very_important
1989,40,male,very_important,important
1989,47,male,very_important,very_important
1989,49,female,important,important
1989,42,male,very_important,important
1989,19,female,important,very_important
1989,37,male,neither,important
1989,61,female,neither,neither
1989,40,male,neither,neither
1989,30,female,important,important
1989,83,female,important,important
1989,34,female,neither,neither
1989,60,female,important,neither
1989,37,female,neither,neither
1989,43,female,very_important,very_important
1989,36,female,important,very_important
1989,63,male,important,important
1989,19,female,important,very_important
1989,56,male,important,important
1989,41,male,very_important,very_important
1989,23,female,important,important
1989,27,female,very_important,very_important
1989,65,female,important,very_important
1989,36,male,very_important,very_important
1989,48,male,important,important
1989,45,female,important,important
1989,22,male,important,important
1989,38,male,very_important,very_important
1989,38,female,very_important,important
1989,20,female,neither,very_important
1989,19,male,important,important
1989,48,male,important,important
1989,37,male,neither,important
1989,30,female,neither,important
1989,43,male,neither,very_important
1989,31,female,important,important
1989,87,female,important,neither
1989,24,female,very_important,very_important
1989,82,female,important,neither
1989,26,male,important,important
1989,55,male,very_important,important
1989,45,female,very_important,very_important
1989,74,male,important,very_important
1989,32,female,important,important
1989,35,female,very_important,very_important
1989,45,female,important,neither
1989,38,female,very_important,very_important
1989,40,female,very_important,important
1989,65,female,important,very_important
1989,19,female,important,important
1989,36,male,important,important
1989,47,female,neither,neither
1989,24,male,important,important
1989,50,male,very_important,very_important
1989,51,male,important,important
1989,32,female,important,neither
1989,42,female,neither,neither
1989,21,male,very_important,very_important
1989,24,female,important,important
1989,24,male,very_important,important
1989,34,male,important,very_important
1989,31,female,very_important,very_important
1989,19,female,very_important,very_important
1989,32,male,important,not_important
1989,53,female,very_important,very_important
1989,19,female,very_important,not_important
1989,51,female,important,important
1989,60,female,very_important,very_important
1989,52,female,important,very_important
1989,23,male,important,neither
1989,21,female,important,important
1989,23,male,important,important
1989,27,male,neither,important
1989,34,male,important,neither
1989,24,female,important,important
1989,31,male,important,neither
1989,51,male,important,important
1989,38,female,very_important,very_important
1989,40,male,important,important
1989,61,male,very_important,important
1989,52,male,neither,neither
1989,66,female,important,neither
1989,19,male,important,very_important
1989,32,female,important,very_important
1989,63,female,important,important
1989,69,male,very_important,important
1989,51,female,important,important
1989,42,male,important,very_important
1989,45,female,important,very_important
1989,28,female,important,important
1989,50,male,very_important,very_important
1989,38,female,important,important
1989,68,male,neither,important
1989,39,female,important,important
1989,45,female,neither,neither
1989,20,male,very_important,very_important
1989,52,female,very_important,very_important
1989,26,female,important,important
1989,81,female,important,important
1989,61,male,neither,very_important
1989,36,male,neither,important
1989,21,female,important,important
1989,62,female,important,important
1989,70,female,very_important,very_important
1989,50,male,neither,neither
1989,49,male,important,important
1989,23,male,neither,important
1989,37,male,important,important
1989,64,female,not_important,important
1989,20,male,very_important,very_important
1989,67,female,very_important,very_important
1989,69,female,very_important,very_important
1989,51,male,important,important
1989,34,male,important,important
1989,21,female,important,very_important
1989,29,female,very_important,important
1989,72,female,important,important
1989,36,female,important,very_important
1989,61,male,not_important,very_important
1989,42,female,very_important,very_important
1989,68,female,neither,neither
1989,25,male,very_important,very_important
1989,28,male,neither,important
1989,56,female,important,very_important
1989,72,male,important,important
1989,68,female,neither,important
1989,69,female,neither,neither
1989,25,female,important,important
1989,37,male,neither,neither
1989,47,female,neither,neither
1989,36,female,neither,neither
1989,30,female,very_important,very_important
1989,29,female,important,important
1989,37,female,neither,neither
1989,32,female,important,important
1989,32,male,neither,neither
1989,49,female,important,neither
1989,27,female,neither,important
1989,19,male,important,not_important_at_all
1989,41,female,important,important
1989,66,female,neither,neither
1989,37,female,neither,neither
1989,51,male,neither,very_important
1989,32,female,neither,important
1989,33,male,very_important,very_important
1989,66,male,important,important
1989,36,male,neither,very_important
1989,38,male,neither,important
1989,45,male,neither,neither
1989,27,male,important,important
1989,72,female,important,important
1989,58,female,very_important,very_important
1989,25,female,important,very_important
1989,35,male,important,important
1989,40,male,important,very_important
1989,27,female,neither,important
1989,70,male,important,very_important
1989,46,female,important,important
1989,77,female,not_important,neither
1989,42,female,very_important,very_important
1989,28,male,neither,important
1989,62,female,very_important,important
1989,42,female,very_important,very_important
1989,73,female,important,important
1989,68,male,important,important
1989,72,male,important,very_important
1989,54,female,not_important,not_important
1989,60,female,very_important,important
1989,33,male,very_important,very_important
1989,60,female,very_important,very_important
1989,70,female,important,important
1989,25,female,very_important,very_important
1989,29,male,important,important
1989,39,male,important,neither
1989,39,male,not_important,not_important
1989,31,female,neither,not_important
1989,19,male,neither,important
1989,27,male,important,neither
1989,60,male,neither,not_important
1989,42,male,important,very_important
1989,45,female,very_important,very_important
1989,43,female,very_important,very_important
1989,35,male,important,very_important
1989,49,female,neither,important
1989,23,female,neither,not_important
1989,61,female,very_important,not_important_at_all
1989,45,male,very_important,very_important
1989,45,male,very_important,very_important
1989,47,male,important,important
1989,28,female,important,important
1989,66,female,important,important
1989,34,male,not_important,important
1989,40,male,neither,important
1989,21,male,important,important
1989,32,male,important,important
1989,45,male,very_important,very_important
1989,79,female,important,important
1989,29,female,very_important,very_important
1989,32,male,neither,not_important_at_all
1989,53,male,important,neither
1989,41,female,important,important
1989,57,male,very_important,very_important
1989,60,female,important,very_important
1989,36,female,important,important
1989,26,male,important,very_important
1989,64,female,important,important
1989,43,male,important,important
1989,51,male,important,important
1989,51,male,important,important
1989,75,female,important,important
1989,55,male,important,important
1989,63,female,important,very_important
1989,47,female,important,neither
1989,26,male,important,very_important
1989,60,male,important,important
1989,49,female,very_important,very_important
1989,44,female,important,important
1989,32,female,important,very_important
1989,41,male,important,important
1989,40,male,important,important
1989,20,female,neither,important
1989,34,female,very_important,very_important
1989,57,female,important,important
1989,53,male,very_important,important
1989,54,male,very_important,very_important
1989,41,female,important,very_important
1989,39,male,neither,important
1989,31,male,neither,important
1989,56,male,important,important
1989,39,male,important,very_important
1989,52,male,very_important,very_important
1989,21,female,important,important
1989,59,female,important,important
1989,41,female,important,important
1989,41,female,important,important
1989,23,male,neither,neither
1989,32,male,important,important
1989,58,male,very_important,very_important
1989,26,female,neither,neither
1989,49,male,neither,important
1989,41,male,important,very_important
1989,26,female,neither,neither
1989,30,male,important,important
1989,42,female,important,important
1989,42,male,important,neither
1989,45,male,important,important
1989,34,male,neither,neither
1989,36,male,neither,neither
1989,44,male,very_important,not_important
1989,32,male,very_important,important
1989,76,female,neither,important
1989,77,female,important,important
1989,79,male,important,important
1989,53,male,very_important,very_important
1989,20,male,not_important,important
1989,28,female,important,neither
1989,67,female,important,very_important
1989,62,female,very_important,very_important
1989,42,female,very_important,very_important
1989,82,male,neither,neither
1989,62,female,very_important,very_important
1989,39,female,neither,important
1989,44,female,very_important,very_important
1989,19,male,important,important
1989,35,female,neither,important
1989,54,male,very_important,very_important
1989,67,female,important,important
1989,68,male,neither,neither
1989,70,male,important,neither
1989,44,female,important,important
1989,51,female,neither,important
1989,31,female,important,important
1989,26,female,important,important
1989,35,male,important,important
1989,65,female,neither,important
1989,30,male,neither,neither
1989,65,female,important,important
1989,37,male,neither,important
1989,79,female,neither,not_important
1989,39,male,important,important
1989,43,female,important,neither
1989,72,male,important,important
1989,65,female,very_important,very_important
1989,74,male,neither,important
1989,49,male,very_important,very_important
1989,31,female,important,very_important
1989,34,male,very_important,very_important
1989,21,male,neither,neither
1989,45,female,important,important
1989,50,male,neither,neither
1989,74,male,important,important
1989,48,female,very_important,very_important
1989,72,female,neither,important
1989,70,male,very_important,very_important
1989,65,female,important,important
1989,45,male,important,important
1989,42,male,important,very_important
1989,27,female,important,important
1989,36,female,neither,neither
1989,45,female,very_important,very_important
1989,33,male,very_important,very_important
1989,33,female,very_important,very_important
1989,59,female,very_important,very_important
1989,69,female,neither,neither
1989,69,female,important,very_important
1989,21,female,very_important,neither
1989,25,male,neither,neither
1989,19,female,very_important,very_important
1989,28,male,neither,important
1989,37,male,important,very_important
1989,42,male,important,important
1989,75,female,very_important,very_important
1989,80,female,important,important
1989,41,male,important,important
1989,63,male,important,important
1989,18,female,important,very_important
1989,52,female,important,very_important
1989,88,female,important,important
1989,44,male,important,important
1989,36,male,important,important
1989,32,female,important,important
1989,50,male,important,not_important
1989,40,female,important,very_important
1989,37,female,important,important
1989,28,female,important,important
1989,52,female,important,important
1989,66,female,not_important,not_important
1989,24,male,neither,neither
1989,48,female,important,important
1989,33,male,neither,neither
1989,66,male,important,neither
1989,65,female,very_important,important
1989,25,female,very_important,important
1989,38,female,not_important,neither
1989,55,male,neither,very_important
1989,46,male,important,important
1989,20,female,important,important
1989,35,female,important,important
1989,30,female,important,very_important
1989,40,male,important,important
1989,54,male,neither,important
1989,46,female,important,neither
1989,68,female,neither,neither
1989,72,male,important,important
1989,20,male,very_important,important
1989,36,female,very_important,very_important
1989,23,male,important,important
1989,72,female,very_important,important
1989,55,female,very_important,very_important
1989,35,female,important,important
1989,29,male,not_important,not_important
1989,72,male,very_important,important
1989,47,male,very_important,very_important
1989,24,female,important,neither
1989,75,female,very_important,important
1989,55,female,very_important,very_important
1989,38,male,important,important
1989,33,female,very_important,neither
1989,26,female,important,important
1989,31,female,neither,important
1989,25,female,important,very_important
1989,32,female,important,important
1989,25,female,important,important
1989,75,female,important,important
1989,25,male,very_important,important
1989,46,male,very_important,important
1989,63,female,neither,important
1989,43,female,important,important
1989,66,female,very_important,very_important
1989,82,female,very_important,important
1989,37,female,important,important
1989,22,male,important,very_important
1989,26,male,very_important,important
1989,29,female,important,important
1989,66,male,important,neither
1989,32,female,neither,neither
1989,26,female,very_important,very_important
1989,36,male,important,important
1989,35,male,important,important
1989,27,female,important,important
1989,31,female,important,neither
1989,20,female,very_important,important
1989,64,female,important,neither
1989,23,male,neither,neither
1989,23,female,very_important,very_important
1989,68,female,important,important
1989,60,male,very_important,very_important
